Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010010000406,595,SHIRT,HALF - SH,40 CM,5308,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000407,595,SHIRT,HALF - SH,42 CM,5308,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000411,650,SHIRT,FULL - SH,42 CM,5836,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000417,550,SHIRT,FULL - SH,39 CM,5466,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000421,550,SHIRT,HALF - SH,40 CM,5466,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000422,550,SHIRT,HALF - SH,42 CM,5466,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000426,550,SHIRT,HALF - SH,39 CM,5437,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000428,550,SHIRT,HALF - SH,42 CM,5437,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000436,595,SHIRT,FULL - SH,39 CM,5309,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000441,595,SHIRT,HALF - SH,40 CM,5309,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000465,695,SHIRT,HALF - SH,39 CM,6494,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000466,695,SHIRT,HALF - SH,40 CM,6494,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
