lkamravati,Sale Qty
8900000572366,1
8900000572809,1
8900000630622,1
8900000466573,1
8900000587100,2
8900000450862,1
8900000615728,2
8900000405480,1
8900000630868,1
8900000600472,1
8900000507979,1
8900000356812,3
8900000586226,1
8900000627745,2
8900000616725,1
8900000614066,2
8900000630608,1
8900000630769,2
8900000454020,1
8900000502134,1
8900000488568,1
8900000477098,1
8900000502455,15
8900000596317,1
8900000574766,1
8900000630585,1
8900000502431,3
8900000484829,1
8900000608072,0
8900000630028,2
8900000594030,1
8900000623891,1
8900000629220,2
8900000624430,1
8900000602995,2
8900000623204,1
8900000627547,2
8900000517114,2
8900000625451,1
8900000613014,1
8900000474547,1
8900000619047,1
8900000509744,1
8900000626014,1
8900000576241,2
8900000629527,2
8900000627646,1
8900000605545,1
8900000626120,1
8900000615919,1
8900000608478,1
8900000628650,2
8900000628360,1
8900000608089,1
8900000393626,2
8900000614882,2
8900000447664,1
8900000502417,8
8900000450886,1
8900000608928,1
8900000612895,1
8900000631087,1
8900000628643,1
8900000517589,1
8900000618170,1
8900000618026,1
8900000595013,1
8900000380633,1
8900000417513,1
8900000611805,1
8900000616138,1
8900000580286,1
8900000607143,1
8900000604296,1
8900000626595,2
8900000624348,2
8900000585762,1
8900000480173,1
8900000512379,2
8900000607013,2
8900000626168,1
8900000489749,2
8900000629930,1
8900000394111,3
8900000630783,2
8900000586738,1
8900000574773,1
8900000617135,1
8900000478101,1
8900000604586,1
8900000586189,1
8900000609918,1
8900000405855,2
8900000601301,1
8900000442966,2
8900000620579,1
8900000502509,1
8900000614233,1
8900000618668,1
8900000183630,1
8900000618491,1
8900000619924,1
8900000593859,1
8900000394104,2
8900000617050,1
8900000632381,1
8900000583126,1
8900000441259,1
8900000608935,1
8900000586271,1
8900000620562,1
8900000593545,1
8900000400355,1
8900000627752,3
8900000512317,1
8900000614158,1
8900000442997,1
8900000608515,2
8900000580170,1
8900000445349,1
8900000442973,2
8900000596324,1
8900000601165,1
8900000587094,2
